sample_name	sample_name_original	barcode_prefix	sample_type	gcms_sample_name	gcms_sequence	gcms_analysis_batch	gcms_run_location	lcms_sample_name_fbmn	lcms_sample_name_cmn	lcms_batch	lcms_extraction_protocol	lcms_sample_type	lcms_sample_type_sub	collection_timestamp	depth_sample	depth_method	description	elevation	emp500_principal_investigator	emp500_study_id	emp500_title	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	environmental_package	geo_loc_name	host_subject_id	iron_mg_per_l	latitude	longitude	project_name	scientific_name	read_count_shotgun_r1	read_count_shotgun_woltka_uniq	read_count_shotgun_rep200	alpha_shotgun_woltka_min3450_richness	alpha_shotgun_woltka_min3450_shannon	alpha_shotgun_woltka_min3450_faithspd	alpha_shotgun_woltka_rar3450_richness	alpha_shotgun_woltka_rar3450_shannon	alpha_shotgun_woltka_rar3450_faithspd	alpha_shotgun_woltka_richness	alpha_shotgun_woltka_shannon	alpha_shotgun_woltka_faithspd	alpha_shotgun_woltka_min10k_richness	alpha_shotgun_woltka_min10k_shannon	alpha_shotgun_woltka_min10k_faithspd	alpha_shotgun_woltka_rar10k_richness	alpha_shotgun_woltka_rar10k_shannon	alpha_shotgun_woltka_rar10k_faithspd	songbird_trainTest_5050_empo_3	songbird_trainTest_5050_env_material	songbird_trainTest_8020_empo_3	songbird_trainTest_8020_env_material
13114.pinto.63.s012	Pinto63.gardenbotton.5	pinto.63.s012	fungus garden	not applicable	not applicable	not applicable	not applicable	4C4_3_70_pinto-63-s012-a03.mzML	4C4_3_70_pinto-63-s012-a03	4	Bulk_201901_UCSD	Sample	Bulk	5/26/16 0:00	0.3	not applicable	Botton section symbiotic garden	44	Pinto	63	Costa Rican leaf-cutter ant and bee material	EMP sample	Host-associated	Plant	Plant corpus	tropical broadleaf forest biome	insecta-associated habitat	organic material	host-associated	host-associated	Costa Rica:Carara National Park	gardenbotton.5	not applicable	9.77672	-84.60522	Pinto insects from Costa Rica: bees, leaf-cutter ants	insect metagenome	11668040	6569	105315	210	4.731605835	41.63607373	197	4.730494791	38.94497996	270	5.015736153	50.19192946	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Train	Train	Train
13114.pinto.63.s014	Pinto63.bottomrefusedump.5	pinto.63.s014	fungus garden dump	EMP_Feces_pinto_63_s014_a03_M_338	338	note applicable	UCSD	4C5_3_71_pinto-63-s014-a04.mzML	4C5_3_71_pinto-63-s014-a04	4	Bulk_201901_UCSD	Sample	Bulk	5/26/16 0:00	0	not applicable	Refuse dump bottom	44	Pinto	63	Costa Rican leaf-cutter ant and bee material	EMP sample	Host-associated	Plant	Plant corpus	tropical broadleaf forest biome	insecta-associated habitat	organic material	host-associated	host-associated	Costa Rica:Carara National Park	bottomrefusedump.5	not applicable	9.77672	-84.60522	Pinto insects from Costa Rica: bees, leaf-cutter ants	insect metagenome	7992491	90384	416181	780	4.531810091	95.16914769	253	4.388822086	37.98302774	1142	5.302591774	136.3775991	1142	5.302591774	136.3775991	549	5.182717712	74.94587949	Train	Train	Train	Train
13114.pinto.63.s006	Pinto63.gardenbotton.3	pinto.63.s006	fungus garden	EMP_Feces_pinto_63_s006_a03_M_333	333	note applicable	UCSD	4C6_3_75_pinto-63-s006-a04.mzML	4C6_3_75_pinto-63-s006-a04	4	Bulk_201901_UCSD	Sample	Bulk	5/22/16 0:00	0.3	not applicable	Botton section symbiotic garden	65	Pinto	63	Costa Rican leaf-cutter ant and bee material	EMP sample	Host-associated	Plant	Plant corpus	tropical broadleaf forest biome	insecta-associated habitat	organic material	host-associated	host-associated	Costa Rica:Puerto Viejo:La Selva Biological Station	gardenbotton.3	not applicable	10.43801	-84.01149	Pinto insects from Costa Rica: bees, leaf-cutter ants	insect metagenome	12756952	10424	96733	206	4.756124116	44.92406908	158	4.685785608	37.75166659	256	4.443195393	53.84066957	256	4.443195393	53.84066957	250	4.438459464	53.31045323	Test	Train	Train	Train
13114.pinto.63.s009	Pinto63.toprefusedump.4	pinto.63.s009	fungus garden dump	EMP_Feces_pinto_63_s009_a03_M_336	336	note applicable	UCSD	4C7_3_80_pinto-63-s009-a04.mzML	4C7_3_80_pinto-63-s009-a04	4	Bulk_201901_UCSD	Sample	Bulk	5/26/16 0:00	0	not applicable	Refuse dump top	29	Pinto	63	Costa Rican leaf-cutter ant and bee material	EMP sample	Host-associated	Plant	Plant corpus	tropical broadleaf forest biome	insecta-associated habitat	organic material	host-associated	host-associated	Costa Rica:Carara National Park	toprefusedump.4	not applicable	9.77872	-84.60623	Pinto insects from Costa Rica: bees, leaf-cutter ants	insect metagenome	11140681	205955	670562	1025	5.37970941	128.3041033	278	5.188411656	42.27914638	1670	6.100402573	199.4252515	1670	6.100402573	199.4252515	656	6.047464499	85.92611339	Test	Train	Train	Train
13114.thomas.18.s042	Thomas18.COS1tis	thomas.18.s042	sponge tissue	EMP_Feces_thomas_18_s042_a03_M_044	44	note applicable	UCSD	4C8_1_3_thomas-18-s042-a04.mzML	4C8_1_3_thomas-18-s042-a04	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	5	not applicable	C.matthwesi: 1tube of bacterial pellet called COS1bac and 10 tubes of tissue called COS1.1 to COS1.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	C.matthewsi_rep1	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	19	not applicable	3	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Train	Test	Train
13114.thomas.18.s045	Thomas18.COS4tis	thomas.18.s045	sponge tissue	not applicable	not applicable	not applicable	not applicable	4C9_1_6_thomas-18-s045-a03.mzML	4C9_1_6_thomas-18-s045-a03	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	5	not applicable	C.matthwesi: 1tube of bacterial pellet called COS4bac and 10 tubes of tissue called COS4.1 to COS4.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	C.matthewsi_rep4	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	5080832	5712	3398	89	2.383080993	34.29062491	85	2.386387071	33.31725309	150	3.075557448	50.91868306	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Test	Test	Train
13114.thomas.18.s031	Thomas18.CAR1tis	thomas.18.s031	sponge tissue	EMP_Feces_thomas_18_s031_a03_M_030	30	note applicable	UCSD	4D1_1_16_thomas-18-s031-a04.mzML	4D1_1_16_thomas-18-s031-a04	4	Bulk_201901_UCSD	Sample	Bulk	12/22/15 0:00	5	not applicable	C.foliascens: 1tube of bacterial pellet called CAR1bac and 10 tubes of tissue called CAR1.1 to CAR1.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	C.foliascens_rep1	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	4442336	13533	6224	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	251	2.070852378	61.80021732	251	2.070852378	61.80021732	228	2.064605464	57.11617331	Test	Train	Train	Train
13114.thomas.18.s034	Thomas18.CAR4tis	thomas.18.s034	sponge tissue	not applicable	not applicable	not applicable	not applicable	4D10_1_47_thomas-18-s034-a03.mzML	4D10_1_47_thomas-18-s034-a03	4	Bulk_201901_UCSD	Sample	Bulk	12/22/15 0:00	5	not applicable	C.foliascens: 1tube of bacterial pellet called CAR4bac and 10 tubes of tissue called CAR4.1 to CAR4.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	C.foliascens_rep4	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	224	7	10	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3	1.556656707	2.541612849	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Train	Train	Train
13114.thomas.18.s040	Thomas18.CLI3tis	thomas.18.s040	sponge tissue	not applicable	not applicable	not applicable	not applicable	4D11_1_48_thomas-18-s040-a03.mzML	4D11_1_48_thomas-18-s040-a03	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	5	not applicable	C.orientalis: 1tube of bacterial pellet called CLI3bac and 10 tubes of tissue called CLI3.1 to CLI3.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	C.orientalis_rep3	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	8671300	3274	17783	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	149	4.9648703	45.92533428	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Train	Test	Train
13114.thomas.18.s051	Thomas18.PER2tis	thomas.18.s051	sponge tissue	EMP_Feces_thomas_18_s051_a03_M_041	41	note applicable	UCSD	4D12_1_51_thomas-18-s051-a04.mzML	4D12_1_51_thomas-18-s051-a04	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	9	not applicable	P.heteropahis: 1tube of bacterial pellet called PER2bac and 10 tubes of tissue called PER2.1 to PER2.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	P.heteroaphis_rep2	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	3220634	2595	7914	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	127	4.389702799	41.53062299	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Test	Test	Train
13114.thomas.18.s053	Thomas18.PER4tis	thomas.18.s053	sponge tissue	not applicable	not applicable	not applicable	not applicable	4D2_1_18_thomas-18-s053-a03.mzML	4D2_1_18_thomas-18-s053-a03	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	9	not applicable	P.heteropahis: 1tube of bacterial pellet called PER4bac and 10 tubes of tissue called PER4.1 to PER4.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	P.heteroaphis_rep4	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	3388854	3972	8749	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	149	4.587977857	45.142191	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Test	Test	Train
13114.thomas.18.s056	Thomas18.STY3tis	thomas.18.s056	sponge tissue	not applicable	not applicable	not applicable	not applicable	4D3_1_19_thomas-18-s056-a03.mzML	4D3_1_19_thomas-18-s056-a03	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	9	not applicable	S.flabelliformis: 1tube of bacterial pellet called STY3bac and 10 tubes of tissue called STY3.1 to STY3.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	S.flabelliformis_rep3	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	5680949	7632	2972	77	1.99009613	28.80496051	63	2.006759759	24.80602271	134	2.294164252	39.79769268	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train
13114.thomas.18.s033	Thomas18.CAR3tis	thomas.18.s033	sponge tissue	not applicable	not applicable	not applicable	not applicable	4D4_1_24_thomas-18-s033-a03.mzML	4D4_1_24_thomas-18-s033-a03	4	Bulk_201901_UCSD	Sample	Bulk	12/22/15 0:00	5	not applicable	C.foliascens: 1tube of bacterial pellet called CAR3bac and 10 tubes of tissue called CAR3.1 to CAR3.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	C.foliascens_rep3	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	7736895	713534	10191	117	3.829957167	35.55658444	113	3.84347239	34.25368933	187	0.325572773	51.13613607	187	0.325572773	51.13613607	34	0.311423715	11.33464901	Test	Train	Train	Train
13114.thomas.18.s050	Thomas18.PER1tis	thomas.18.s050	sponge tissue	EMP_Feces_thomas_18_s050_a03_M_040	40	note applicable	UCSD	4D5_thomas-18-s050-a04.mzML	4D5_thomas-18-s050-a04	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	9	not applicable	P.heteropahis: 1tube of bacterial pellet called PER1bac and 10 tubes of tissue called PER1.1 to PER1.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	P.heteroaphis_rep1	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	5071194	2626	10763	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	132	4.971614689	41.83651537	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Test	Test	Train
13114.thomas.18.s054	Thomas18.STY1tis	thomas.18.s054	sponge tissue	EMP_Feces_thomas_18_s054_a03_M_042	42	note applicable	UCSD	4D6_1_26_thomas-18-s054-a04.mzML	4D6_1_26_thomas-18-s054-a04	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	9	not applicable	S.flabelliformis: 1tube of bacterial pellet called STY1bac and 10 tubes of tissue called STY1.1 to STY1.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	S.flabelliformis_rep1	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	4868185	13590	2804	61	2.389657378	23.11167765	45	2.35204939	17.86205099	120	2.596030921	34.3606093	120	2.596030921	34.3606093	115	2.607521081	33.71745868	Train	Test	Train	Train
13114.thomas.18.s049	Thomas18.IRC4tis	thomas.18.s049	sponge tissue	not applicable	not applicable	not applicable	not applicable	4D7_1_29_thomas-18-s049-a03.mzML	4D7_1_29_thomas-18-s049-a03	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	5	not applicable	I.ramose: 1tube of bacterial pellet called IRC4bac and 10 tubes of tissue called IRC4.1 to IRC4.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	I.ramose_rep4	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	606509	389	204	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	40	3.68659007	16.54786591	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train
13114.thomas.18.s043	Thomas18.COS2tis	thomas.18.s043	sponge tissue	EMP_Feces_thomas_18_s043_a03_M_045	45	note applicable	UCSD	4D8_1_37_thomas-18-s043-a04.mzML	4D8_1_37_thomas-18-s043-a04	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	5	not applicable	C.matthwesi: 1tube of bacterial pellet called COS2bac and 10 tubes of tissue called COS2.1 to COS2.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	C.matthewsi_rep2	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	6658083	6167	2840	111	2.657493167	36.16627723	97	2.681208151	32.61711433	187	3.448383828	57.140774	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Test	Test	Train
13114.thomas.18.s046	Thomas18.IRC1tis	thomas.18.s046	sponge tissue	EMP_Feces_thomas_18_s046_a04_M_046	46	note applicable	UCSD	4D9_1_46_thomas-18-s046-a05.mzML	4D9_1_46_thomas-18-s046-a05	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	5	not applicable	I.ramose: 1tube of bacterial pellet called IRC1bac and 10 tubes of tissue called IRC1.1 to IRC1.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	I.ramose_rep1	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	8978813	24200	2727	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	203	2.645054622	61.15662284	203	2.645054622	61.15662284	149	2.609833839	45.93774803	Train	Test	Train	Train
13114.thomas.18.s041	Thomas18.CLI4tis	thomas.18.s041	sponge tissue	not applicable	not applicable	not applicable	not applicable	4E1_1_55_thomas-18-s041-a03.mzML	4E1_1_55_thomas-18-s041-a03	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	5	not applicable	C.orientalis: 1tube of bacterial pellet called CLI4bac and 10 tubes of tissue called CLI4.1 to CLI4.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	C.orientalis_rep4	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	2947568	1093	12975	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	77	4.678981701	30.33382293	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Train	Test	Train
13114.lcms.blank.solvent.80	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_20190205144855.mzML	Resusp_solvent_20190205144855	not applicable	Bulk_201901_UCSD	Background_control	Solvent	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.lcms.blank.solvent.82	not applicable	not applicable	lcms control	not applicable	not applicable	not applicable	not applicable	Resusp_solvent_20190205180005.mzML	Resusp_solvent_20190205180005	not applicable	Bulk_201901_UCSD	Background_control	Solvent	not applicable	not applicable	not applicable	lcms control	not applicable	Dorrestein	not applicable	not applicable	EMP sample	Control	Negative	Sterile water blank	urban biome	research facility	sterile water	misc environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
13114.thomas.18.s039	Thomas18.CLI2tis	thomas.18.s039	sponge tissue	EMP_Feces_thomas_18_s039_a03_M_035	35	note applicable	UCSD	4E11_1_75_thomas-18-s039-a04.mzML	4E11_1_75_thomas-18-s039-a04	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	5	not applicable	C.orientalis: 1tube of bacterial pellet called CLI2bac and 10 tubes of tissue called CLI2.1 to CLI2.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	C.orientalis_rep2	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	4267765	3758	9193	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	139	4.615117769	42.2282621	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Train	Test	Train
13114.thomas.18.s001	Thomas18.CAR1bac	thomas.18.s001	sponge tissue	EMP_Feces_thomas_18_s001_a03_M_025	25	note applicable	UCSD	4E12_7_1_thomas-18-s001-a04.mzML	4E12_7_1_thomas-18-s001-a04	4	Bulk_201901_UCSD	Sample	Bulk	12/22/15 0:00	5	not applicable	C.foliascens: 1tube of bacterial pellet called CAR1bac and 10 tubes of tissue called CAR1.1 to CAR1.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	C.foliascens_rep1	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	14486043	19433	16667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	225	2.02075027	48.57338564	225	2.02075027	48.57338564	187	2.053787171	42.02719349	Train	Train	Train	Train
13114.thomas.18.s052	Thomas18.PER3tis	thomas.18.s052	sponge tissue	not applicable	not applicable	not applicable	not applicable	4E2_1_57_thomas-18-s052-a03.mzML	4E2_1_57_thomas-18-s052-a03	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	9	not applicable	P.heteropahis: 1tube of bacterial pellet called PER3bac and 10 tubes of tissue called PER3.1 to PER3.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	P.heteroaphis_rep3	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	4466524	3290	8249	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	149	4.801538923	46.17185619	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Test	Test	Train
13114.thomas.18.s032	Thomas18.CAR2tis	thomas.18.s032	sponge tissue	EMP_Feces_thomas_18_s032_a03_M_031	31	note applicable	UCSD	4E3_1_58_thomas-18-s032-a04.mzML	4E3_1_58_thomas-18-s032-a04	4	Bulk_201901_UCSD	Sample	Bulk	12/22/15 0:00	5	not applicable	C.foliascens: 1tube of bacterial pellet called CAR2bac and 10 tubes of tissue called CAR2.1 to CAR2.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	C.foliascens_rep2	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	260	55	79	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	8	2.198068425	5.417117133	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Test	Train	Train	Train
13114.thomas.18.s047	Thomas18.IRC2tis	thomas.18.s047	sponge tissue	EMP_Feces_thomas_18_s047_a03_M_047	47	note applicable	UCSD	4E4_1_63_thomas-18-s047-a04.mzML	4E4_1_63_thomas-18-s047-a04	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	5	not applicable	I.ramose: 1tube of bacterial pellet called IRC2bac and 10 tubes of tissue called IRC2.1 to IRC2.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	I.ramose_rep2	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	5288	12	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	3	0.816689088	2.33534299	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train
13114.thomas.18.s036	Thomas18.CHO2tis	thomas.18.s036	sponge tissue	EMP_Feces_thomas_18_s036_a03_M_033	33	note applicable	UCSD	4E5_1_65_thomas-18-s036-a04.mzML	4E5_1_65_thomas-18-s036-a04	4	Bulk_201901_UCSD	Sample	Bulk	1/27/16 0:00	10	not applicable	Chondrilla australiensis: 11 tubes: CHO2 is the bacterial pellet, tubes CHO2.1 - CHO2.10 are replicate tissue samples	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine subtidal rocky reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:New South Wales:Sydney Metropolitan Area:Botany Bay:Bare Island	CHO2	not applicable	-33.99138	151.232539	EMP sponge microbiome deep sequencing	sponge metagenome	6320958	12883	3268	82	2.875444318	24.87692916	54	2.857087441	16.41508598	161	3.53074149	39.18127343	161	3.53074149	39.18127343	155	3.543595222	38.17197543	Test	Train	Train	Train
13114.thomas.18.s037	Thomas18.CHO3tis	thomas.18.s037	sponge tissue	not applicable	not applicable	not applicable	not applicable	4E6_1_66_thomas-18-s037-a03.mzML	4E6_1_66_thomas-18-s037-a03	4	Bulk_201901_UCSD	Sample	Bulk	1/27/16 0:00	10	not applicable	Chondrilla australiensis: 11 tubes: CHO3 is the bacterial pellet, tubes CHO3.1 - CHO3.10 are replicate tissue samples	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine subtidal rocky reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:New South Wales:Sydney Metropolitan Area:Botany Bay:Bare Island	CHO3	not applicable	-33.99138	151.232539	EMP sponge microbiome deep sequencing	sponge metagenome	6973009	19237	16728	148	3.763498488	40.31390141	96	3.759073081	28.37925184	279	4.464190771	66.49336835	279	4.464190771	66.49336835	241	4.460634337	57.97796117	Test	Train	Train	Train
13114.thomas.18.s055	Thomas18.STY2tis	thomas.18.s055	sponge tissue	EMP_Feces_thomas_18_s055_a03_M_043	43	note applicable	UCSD	4E7_1_67_thomas-18-s055-a04.mzML	4E7_1_67_thomas-18-s055-a04	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	9	not applicable	S.flabelliformis: 1tube of bacterial pellet called STY2bac and 10 tubes of tissue called STY2.1 to STY2.10	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	S.flabelliformis_rep2	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	5814168	14031	3761	86	2.970487927	28.93418423	58	2.922494563	20.36356169	171	3.423617707	46.00310905	171	3.423617707	46.00310905	157	3.439773932	42.99725628	Train	Test	Train	Train
13114.thomas.18.s057	Thomas18.STY4tis	thomas.18.s057	sponge tissue	not applicable	not applicable	not applicable	not applicable	4E8_1_68_thomas-18-s057-a03.mzML	4E8_1_68_thomas-18-s057-a03	4	Bulk_201901_UCSD	Sample	Bulk	12/23/15 0:00	9	not applicable	S.flabelliformis: 1tube of bacterial pellet called STY4bac and 10 tubes of tissue called STY4.1 to STY4.6	0	Thomas	18	Ocean sponges	EMP sample	Host-associated	Animal	Animal corpus	marine coral reef biome	marine benthic feature	organic material	host-associated	host-associated	Australia:Queensland:Great Barrier Reef:Davies Reef	S.flabelliformis_rep4	not applicable	-18.822567	147.63755	EMP sponge microbiome deep sequencing	sponge metagenome	4742369	9649	2428	63	3.104200673	24.46341448	49	3.0930733	20.62008606	129	3.60287682	37.44470014	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	Train	Test	Train	Train
