rowid,mibig_accession,organism_name,ncbi_tax_id,smiles,inchikey,no_stereo_inchikey,compound_name,molecular_formula
236,BGC0000114,Streptomyces violaceusniger,68280,[H][C@](C)(C(O)=O)[C@]1([H])O[C@@H](C[C@@H]2C[C@@H](OC)[C@@H](C)[C@@]3(O[C@@](C)(C[C@H]3C)[C@@]3([H])CC[C@](C)(O3)[C@]3([H])O[C@]([H])(C[C@@H]3C)[C@@]3([H])O[C@@](O)(CO)[C@H](C)C[C@@H]3C)O2)CC[C@@H]1C,DANUORFCFTYTSZ-SJSJOXFOSA-N,DANUORFCFTYTSZ,nigericin,C40H68O11
237,BGC0000159,Streptomyces spiroverticillatus,67366,C[C@@H]1CC[C@@]2(CC[C@@H]([C@@H](O2)[C@H](C)CC[C@@H]([C@H](C)C(=O)C[C@H]([C@@H]([C@@H](C(C)C)OC(=O)C[C@H](C3=C(C(=O)OC3=O)C)O)OC)O)O)C)O[C@H]1CC[C@H](C)C(=O)C,RFCWHQNNCOJYTR-QKIDKDKQSA-N,RFCWHQNNCOJYTR,tautomycin,C41H66O13
238,BGC0000168,Penicillium aethiopicum,36650,COC1=C2C3=C(C(O)=C1)C(O)=C1C(=O)[C@]4(O)C(=O)C(C(N)=O)=C(O)C[C@]4(O)[C@@H](O)C1=C3C[C@]21C(C)=CCCC1(C)C,SUWQGLGDFGHZNH-WBWZXODPSA-N,SUWQGLGDFGHZNH,viridicatumtoxin,C30H31NO10
239,BGC0000168,Penicillium aethiopicum,36650,OC1=C(C(O)=C(C([C@@](C(C(C(N)=O)=C(O)C2)=O)(O)[C@@]2(O)[C@H]3O)=O)C3=C4C/C=C(C)/CC/C=C(C)/C)C4=CC(OC)=C1,KQHILJSZLCTZEG-BJTDMJNKSA-N,KQHILJSZLCTZEG,previridicatumtoxin,C30H33NO10
240,BGC0000168,Penicillium aethiopicum,36650,OC1=C(C(O)=C(C([C@@](C(C(C(N)=O)=C(O)C2)=O)(O)[C@@]2(O)[C@H]3O)=O)C3=C4)C4=CC(OC)=C1,VAJSPRHHGMWTDK-YSSFQJQWSA-N,VAJSPRHHGMWTDK,5-hydroxyanthrotainin,C20H17NO10
241,BGC0000168,Penicillium aethiopicum,36650,OC1=C(C(O)=C(C([C@@](C(C(C(N)=O)=C(O)C2)=O)(O)[C@@]2(O)C3)=O)C3=C4)C4=CC(O)=C1,HVDQGXCRCGWKFN-MOPGFXCFSA-N,HVDQGXCRCGWKFN,8-O-desmethylanthrotainin,C19H15NO9
242,BGC0000836,Escherichia coli CFT073,199310,CC1=C(O)C=CC(/C=C/C=C/C=C/C=C/C=C/C=C/C(OC)=O)=C1,VKZWYFNUVFKUIX-PXNMIUTMSA-N,VKZWYFNUVFKUIX,APE Ec,C21H22O3
243,BGC0000984,Delftia acidovorans SPH-1,398578,C/C=C(/C(=O)NC(CCCN(C=O)O)C(=O)NC(CO)C(=O)NC(CCCN=C(N)N)C(=O)NC1CCCN(C1=O)O)\NC(=O)CNC(=O)C(C(C)O)NC(=O)C(C(C(=O)O)O)NC(=O)C(C)C(C(C)N)O,GCNNBBXYZHJYOR-SQFVCTCFSA-N,GCNNBBXYZHJYOR,delftibactin A,C40H68N14O18
244,BGC0000984,Delftia acidovorans SPH-1,398578,C/C=C(/C(=O)NC(CCCN(C(=O)C)O)C(=O)NC(CO)C(=O)NC(CCCN=C(N)N)C(=O)NC1CCCN(C1=O)O)\NC(=O)CNC(=O)C(C(C)O)NC(=O)C(C(C(=O)O)O)NC(=O)C(C)C(C(C)N)O,YHBAYFBDFCGZTI-HCDFXORVSA-N,YHBAYFBDFCGZTI,delftibactin B,C41H70N14O18
245,BGC0001460,Amycolatopsis decaplanina DSM 44594,1284240,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9C(NC(=O)C(C(C1=CC=C(O4)C=C1)OC1CC(C(C(O1)C)O)(C)N)NC7=O)C(=O)O)O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)O)O)O,SJSZMXQSCZCGFO-UHFFFAOYSA-N,SJSZMXQSCZCGFO,decaplanin,C72H86ClN9O28
246,BGC0001161,Moorea bouillonii PNG,568701,CCCCCCCCCCCCCCCC=C,ADOBXTDBFNCOBN-UHFFFAOYSA-N,ADOBXTDBFNCOBN,1-heptadecene,C17H34
247,BGC0000715,Streptomyces spectabilis,68270,CNC1C(O)C(NC)C2OC3(O)C(OC(C)CC3=O)OC2C1O,UNFWWIHTNXNPBV-UHFFFAOYSA-N,UNFWWIHTNXNPBV,actinospectacin,C14H24N2O7
248,BGC0001183,Streptomyces sp. FXJ7.023,579932,C[C@H]1C[C@@H]([C@@H]([C@@H]2[C@@H]1[C@]3([C@@H](C=C2)/C(=C\C[C@@H](/C(=C\[C@@H]4C=C([C@@H](C[C@@]45C(=O)C(=C3O)C(=O)O5)C)CO)/C)O[C@H]6C[C@]([C@H]([C@H](O6)C)NC(=O)OC)(C)N)/C)C)O[C@H]7C[C@H]([C@H]([C@@H](O7)C)O)O[C@H]8C[C@H]([C@H]([C@@H](O8)C)O[C@@H]9C[C@H]([C@H]([C@@H](O9)C)OC)O)O)C,BFIFMYVVBKSDFE-KNMPCJSWSA-N,BFIFMYVVBKSDFE,lobophorin A,C61H92N2O19
249,BGC0001231,Jahnella sp. MSr9139,1434086,O=C([C@@H](O)[C@H](NC(C[C@@H](O)CNC(CNC([C@@H](CC1=CNC2=C1C=CC(Cl)=C2)NC(CN(C(C3)=O)C)=O)=O)=O)=O)[C@H](O)[C@@H](O)C/C=C/C4=CC=CC=C4)N[C@H](C5)[C@@]3(O)NC5=O,VXSZBEKMOUAWID-IQEALIBRSA-N,VXSZBEKMOUAWID,microsclerodermin,C40H49ClN8O12
250,BGC0000156,Aspergillus niger,5061,CC(=O)C1=C(C2(C(=O)C3=C(CC2(CC1=O)O)C=C4C=C(C=C(C4=C3O)O)OC)O)O,GEIAHRUFSQGALU-UHFFFAOYSA-N,GEIAHRUFSQGALU,TAN-1612,C21H18O9
251,BGC0000156,Aspergillus niger,5061,O=C1C2=C(O)C3=C(O)C=C(OC)C=C3C=C2CC(CC(CC(C)=O)=O)(O)C1O,LGXYFQMVMASRAI-UHFFFAOYSA-N,LGXYFQMVMASRAI,"1-(2,3,5,10-tetrahydroxy-7-methoxy-4-oxo-1,2,3,4-tetrahydroanthracen-2-yl)pentane-2,4-dione",C20H20O8
252,BGC0000156,Aspergillus niger,5061,O=C1C2=C(O)C3=C(O)C=C(O)C=C3C=C2CC4(O)C1(O)C(C(C(C)=O)=C(O)C4)=O,QUQTYIYOYNVOJS-UHFFFAOYSA-N,QUQTYIYOYNVOJS,desmethyl TAN-1612,C20H16O9
253,BGC0000585,Escherichia coli,562,C[C@H]([C@@H](C(=O)NCC(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)N[P+]([O-])(OCCC[NH3+])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCSC)NC=O)O,PQZVLCSYKIYYRQ-CRNXWWIHSA-O,PQZVLCSYKIYYRQ,microcin C7,C42H70N18O18PS+
254,BGC0000847,Streptomyces cattleya,29303,C[C@@H](O)C1[C@H]2CC(SCCN)=C(N2C1=O)C(O)=O,WKDDRNSBRWANNC-LPBDRPKESA-N,WKDDRNSBRWANNC,thienamycin,C11H16N2O4S
255,BGC0000414,Streptomyces melanovinaceus,1182637,CN1[C@H]2C[C@H]([C@@H]1[C@@H]3CC4=C([C@H]5N3[C@@H]2OC5)C(=CC=C4)OC)C(=O)O,VOUMVHRRAVBACH-RXCQEBQVSA-N,VOUMVHRRAVBACH,quinocarcin,C18H22N2O4
256,BGC0000269,Streptomyces sp. SF2575,746675,C/C=C(\C)/C(=O)OC1C(OC(CC1O)C2=C(C3=C(C=C2)C(C4CC5C(C(=O)C(=C(C5(C(=O)C4=C3O)OC)O)C(=O)N)OC(=O)C6=CC=CC=C6O)(C)OC)O)C,WYRYRHFKSQKGHJ-FRKPEAEDSA-N,WYRYRHFKSQKGHJ,SF2575,C40H43NO15
257,BGC0000235,Streptomyces sp. W007,1055352,COC1=CC=CC2=C1[C@H](O)[C@]1(O)C=CC3=C4[C@@H]1[C@@H]2OC4=CC(C)=C3,DZZWPZQOEKAGKX-ZRNYENFQSA-N,DZZWPZQOEKAGKX,kiamycin,C20H18O4
258,BGC0000694,Bacillus circulans,1397,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)C(CCN)O)O)O[C@H]2[C@@H](C([C@H](O2)CO)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)N)N.O.O.OS(=O)(=O)O.OS(=O)(=O)O,IUQWHBUMCWSQIM-OXNIXSIASA-N,IUQWHBUMCWSQIM,butirosin,C21H49N5O22S2
259,BGC0001872,Xenorhabdus bovienii SS-2004,406818,NCCC(O)CCCCCCCC(N)CCCCCCCC(N)CCCCCCCC(N)CCCCCCCC(C)N,NBXHNLKXWYUARE-UHFFFAOYSA-N,NBXHNLKXWYUARE,fabclavine-polyamine,C36H79N5O
260,BGC0000212,Streptomyces sp. SPB074,465543,[H][C@]12C[C@H](O[C@@H]3[C@H](C)O[C@H](C[C@@H]3N(C)C)O[C@H]3C[C@](O)(CC)[C@H](C(=O)OC)C4=CC5=C(C(O)=C34)C(=O)C3=C(O)C=CC(O)=C3C5=O)O[C@@H](C)[C@@]1([H])O[C@]1([H])O[C@@H](C)C(=O)C[C@]1([H])O2,ZBDDFHXUDIPRSM-DQCCILMQSA-N,ZBDDFHXUDIPRSM,cinerubin B,C42H51NO16
261,BGC0000725,Pseudomonas aeruginosa PAO1,208964,COC1C(C(C(OC1C(=O)[O-])OC2C(C(C(OC2C(=O)[O-])OC)O)O)O)O,GKFPPCXIBHQRQT-UHFFFAOYSA-L,GKFPPCXIBHQRQT,alginate,C14H20O13-2
262,BGC0000341,Streptomyces fungicidicus,68203,CO[C@H](C(O)[C@@H](O)[C@@H](C)O)[C@@H]1CC2=CC3=CC(OC4CC(OC5CC(O)C(OC)C(C)O5)C(O)C(C)O4)=C(C)C(O)=C3C(O)=C2C(=O)[C@H]1OC1CC(OC2CC(OC3CC(C)(O)C(O)C(C)O3)C(O)C(C)O2)C(O)C(C)O1,VUBXBASJXXRTOP-VPVJJHMISA-N,VUBXBASJXXRTOP,enduracidin,C53H80O24
263,BGC0000967,uncultured Candidatus Entotheonella sp.,312019,C[C@H]1[C@@H](C[C@@]2(C([C@H]([C@H](O2)[C@H](C[C@@H]([C@H](C)[C@@H]([C@H](C)/C=C(\C)/C(=C/C=C/C(=C\C#N)/C)/C)O)O)OC)OP(=O)(O)O)(C)C)O[C@H]1C/C=C/C3=COC(=N3)[C@@H](C)CCNC(=O)[C@H]([C@H]([C@H](COC)N(C)C)O)O)O,FKAWLXNLHHIHLA-YCBIHMBMSA-N,FKAWLXNLHHIHLA,calyculin A,C50H81N4O15P
264,BGC0000967,uncultured Candidatus Entotheonella sp.,312019,COC[C@H](N(C)C)[C@H](O)[C@H](O)C(NCC[C@H](C)C1=NC(/C=C/C[C@H]2[C@@H](C)[C@H](O)CC3(C(C)(C)[C@@H](OP(O)(OP(O)(O)=O)=O)[C@@H]([C@@H](OC)C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\[N+]#[C-])O3)O2)=CO1)=O,VURQSRZHWNCHNU-CNTALBEGSA-N,VURQSRZHWNCHNU,phosphocalyculin A,C50H82N4O18P2
265,BGC0000967,uncultured Candidatus Entotheonella sp.,312019,C[C@H]1[C@@H](C[C@@]2(C([C@H]([C@H](O2)[C@H](C[C@@H]([C@H](C)[C@@H]([C@H](C)/C=C(\C)/C(=C/C=C/C(=C/C(=O)N)/C)/C)O)O)OC)OP(=O)(O)O)(C)C)O[C@H]1C/C=C/C3=COC(=N3)[C@@H](C)CCNC(=O)[C@H]([C@H]([C@H](COC)N(C)C)O)O)O,GTJWBKWRZBNEEQ-NVWSLSKVSA-N,GTJWBKWRZBNEEQ,calyculinamide A,C50H83N4O16P
266,BGC0000967,uncultured Candidatus Entotheonella sp.,312019,COC[C@H](N(C)C)[C@H](O)[C@H](O)C(NCC[C@H](C)C1=NC(/C=C/C[C@H]2[C@@H](C)[C@H](O)CC3(C(C)(C)[C@@H](O)[C@@H]([C@@H](OC)C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\[N+]#[C-])O3)O2)=CO1)=O,DOHKICUKNIQGNS-CNTALBEGSA-N,DOHKICUKNIQGNS,dephosphonocalyculin A,C50H80N4O12
267,BGC0001501,Fischerella sp. TAU,1930928,C[C@@]1(CC[C@@]2(O)C3=C1C=CC(C)(C)C1=C3C3=C(N1)C=CC=C3C2(C)C)C=C,YIXMOSKWKGHGSQ-LOSJGSFVSA-N,YIXMOSKWKGHGSQ,ambiguine P,C25H29NO
268,BGC0000196,Photorhabdus laumondii subsp. laumondii TTO1,243265,Oc3cccc2C(=O)c1cc(O)cc(O)c1C(=O)c23,VVEKCQAFOLKNKB-UHFFFAOYSA-N,VVEKCQAFOLKNKB,AQ-256,C14H8O5
269,BGC0000196,Photorhabdus laumondii subsp. laumondii TTO1,243265,Oc3cccc2C(=O)c1cc(O)cc(OC)c1C(=O)c23,MKPXKUVNBNOJOI-UHFFFAOYSA-N,MKPXKUVNBNOJOI,AQ-270a,C15H10O5
270,BGC0000196,Photorhabdus laumondii subsp. laumondii TTO1,243265,Oc3cccc2C(=O)c1cc(cc(OC)c1C(=O)c23)OC,MCHNUYTWURIGNT-UHFFFAOYSA-N,MCHNUYTWURIGNT,AQ-284a,C16H12O5
271,BGC0001091,Corallococcus coralloides,184914,C/C=C/C/C=C(\C)/C(CC/C(=C/C=C(\C)/C(=C\1/C(=O)C=C(OC1=O)[C@H](C)CC/C=C/NC(=O)OC)/O)/C)O,YSXWOFMOJMYBIO-PAAZHNBESA-N,YSXWOFMOJMYBIO,corallopyronin,C30H41NO7
272,BGC0001449,Thermothelomyces thermophilus,78579,C[C@H]1C=C[C@H]2CCCC[C@@H]2[C@H]1C(=O)[C@H]3[C@H]4[C@@]5([C@@H](CCN5C3=O)C(=O)O4)O,VUQSZZXQGQSRJA-TWKBTRLKSA-N,VUQSZZXQGQSRJA,ucs1025a,C20H25NO5
273,BGC0001288,Micromonospora sp. GMKU326,718015,[H][C@@]12C[C@@H](C)CC[C@@]1([H])[C@]1(C)C(=O)C3=C(O)[C@@]4(C[C@@H](C[C@@H](C)O)C(CO)=C[C@@]4(C)C\C=C\[C@@H](C)[C@]1([H])C=C2)OC3=O,IQLRDTYLDFKBLR-KJURRLFSSA-N,IQLRDTYLDFKBLR,maklamicin,C32H44O6
274,BGC0001443,Actinomadura atramentaria DSM 43919,1120936,[H][C@](C)(CC)[C@]([H])(NC(=O)[C@@H]1CCCNN1C(=O)[C@H](CCCCC)CC(=O)NO)C(=O)CC,IWWYEUSBHSDVOX-CLWJZODNSA-N,IWWYEUSBHSDVOX,matlystatin A,C22H40N4O5
275,BGC0001708,Aspergillus novofumigatus IBT 16806,1392255,C[C@H]1CCC2[C@@]([C@]13C[C@]4([C@@H]([C@@H]5[C@H]6[C@](OC5=O)(O[C@@]4(O6)O3)C)C)C)(C=CC(=O)OC2(C)C)C=O,NQBMUBGAOCZKBE-SOBNGFRLSA-N,NQBMUBGAOCZKBE,novofumigatonin,C25H32O8
276,BGC0000583,Streptomyces griseus subsp. griseus NBRC 13350,455632,CC(C(N/C(C(N1C(CCC1)C(NC(C)C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(NC(C(N/C(C(NC(C(NC(C(NC(C(NC2C(C)C)=O)CC(C)C)=O)CS/C=C\NC2=O)=O)[C@H](C)CC)=O)=C/C)=O)CO)=O)[H])=O)CCC(N)=O)=O)[C@H](C)CC)=O)C(C)C)=O)CC3=CC=CC=C3)=O)CCC(N)=O)=O)C)=O)C(C)C)=O)=O)=O)=C\C)=O)N(C)C,OIQYGWMODDNMOB-PTYYYPKJSA-N,OIQYGWMODDNMOB,grisemycin,C86H137N21O21S
277,BGC0000290,Streptomyces toyocaensis,55952,N[C@@H]1C2=CC=C(OS(O)(=O)=O)C(OC3=CC(=CC(O)=C3)[C@@H]3NC(=O)[C@@H](CC4=CC(Cl)=C(OC5=C(O)C6=CC(=C5)[C@@H](NC3=O)C(=O)N[C@@H]3C5=CC(Cl)=C(O)C(=C5)C5=C(O)C=C(O)C=C5[C@H](NC(=O)[C@@H](NC3=O)[C@H](O)C3=CC=C(O6)C(Cl)=C3)C(O)=O)C=C4)NC1=O)=C2,HRGFAEUWEMDRRZ-QLRHZSCISA-N,HRGFAEUWEMDRRZ,A-47934,C58H44Cl3N7O21S
278,BGC0000081,Streptoalloteichus sp. ATCC 53650,756733,CC1C(C(CC(O1)OC\2COC(=O)C(CC3=NC(=C(C=C3)OC4C=C5C#C/C2=C\C#CC6C5(C4OC7CC(C(C(O7)C)O)(C)O)O6)Cl)NC(=O)C8=C(C=C9C=C(C(=C(C9=C8)OC)OC)OC(C)C)O)O)N(C)C,GFTRTMUGNRZABD-IPBVOBEMSA-N,GFTRTMUGNRZABD,kedarcidin,C53H60ClN3O16
279,BGC0000670,Arabidopsis thaliana,3702,C[C@H](CC/C=C(\C)/CCC=C(C)C)[C@]1(CCC2=C1CC[C@@H]3[C@@]2(CC[C@@H](C3(C)C)O)C)C,DGAGPZOBTQYNRE-VMSIWEJCSA-N,DGAGPZOBTQYNRE,thalianol,C30H50O
280,BGC0000670,Arabidopsis thaliana,3702,C[C@H](CC(=O)C=C(C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)[C@H](C[C@@H](C5(C)C)O)O)C)C,ZZYMHGCHGDEWKR-LBVFNNMGSA-N,ZZYMHGCHGDEWKR,thaliandiol,C30H48O3
281,BGC0001250,Epichloe festucae,35717,C/C(=C\C(=O)N(CCC[C@H]1C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCN(C(=O)/C=C(\C)/CCO)O)CCCN(C(=O)/C=C(\C)/CCO)O)CCC(=O)N)O)/CCO,ZYMBDGAKDFBIOX-MQGQGTHPSA-N,ZYMBDGAKDFBIOX,epichloenin A,C46H74N12O18
282,BGC0001023,Stigmatella aurantiaca,41,C\C=C\C=C\C=C\C=C\C=C\C=C\C=C\C(=O)N(C)[C@H]1[C@@H](C)OC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC1=O,BHYCLFCOZPICKT-CNDSVILGSA-N,BHYCLFCOZPICKT,myxochromide S1,C38H54N6O8
283,BGC0001651,Tannerella forsythia 92A2,203275,C[C@H]([C@H]([C@H]1[C@@H]([C@H](C[C@](O1)(C(=O)O)O)O)N)N)O,ZFZFJUIKYIVPNP-OWTNSLFHSA-N,ZFZFJUIKYIVPNP,legionaminic acid,C9H18N2O6
284,BGC0001219,Chaetomium globosum CBS 148.51,306901,CC1=C(C(=O)C(=O)C(=C1O)C)CO,NIZXGIRUXUPPCW-UHFFFAOYSA-N,NIZXGIRUXUPPCW,shanorellin,C9H10O4
285,BGC0001123,Aspergillus oryzae RIB40,510516,[H][C@@]12SS[C@]3([H])NC(=O)[C@@]1(OC1=C2C=C(Cl)C(O)=C1)N(OC)C3=O,XMFSSFONDVHNFO-HOTUBEGUSA-N,XMFSSFONDVHNFO,aspirochlorine,C12H9ClN2O5S2
286,BGC0001547,Aspergillus stellatus,1549217,CC1=C[C@H]2[C@](C[C@H]3C4[C@]2(CC[C@@H](C4(C)C)OC(=O)C)C(=O)O3)([C@]5([C@@]1(C(=C(C5=O)C)O)C)C(=O)OC)C,MYLOBISKHDRNEW-USNZOBNTSA-N,MYLOBISKHDRNEW,citreohybridonol,C28H36O8
287,BGC0000083,Streptomyces amphibiosporus,221586,C[C@@H](\C=C(/C)C1OC(=O)\C=C\CC\C=C\C=C/[C@@H]1C)C(=O)C[C@H](O)CC1CC(=O)NC(=O)C1,OYOKHBHOTQDIPM-UESXVERFSA-N,OYOKHBHOTQDIPM,lactimidomycin,C26H35NO6
288,BGC0000083,Streptomyces amphibiosporus,221586,C[C@@H](\C=C(/C)[C@@H]1OC(=O)\C=C\CC\C=C\CC[C@@H]1C)C(=O)C[C@H](O)CC1CC(=O)NC(=O)C1,JMMMWKAJHBCSAV-XZBFPPINSA-N,JMMMWKAJHBCSAV,"8,9-dihydrolactimidomycin",C26H37NO6
289,BGC0000083,Streptomyces amphibiosporus,221586,C[C@@H](\C=C(/C)[C@@H]1OC(=O)\C=C\CC\C=C\[C@@H](O)C[C@@H]1C)C(=O)C[C@H](O)CC1CC(=O)NC(=O)C1,JFGZTRUDLAEIRJ-CQBLZTSBSA-N,JFGZTRUDLAEIRJ,"8-hydroxy-8,9-dihydrolactidomycin",C26H37NO7
290,BGC0000083,Streptomyces amphibiosporus,221586,C[C@@H](\C=C(/C)[C@@H]1OC(=O)\C=C\CC\C=C\C[C@@H](O)[C@@H]1C)C(=O)C[C@H](O)CC1CC(=O)NC(=O)C1,IVFXTQLBVDABOI-DVYWRAFASA-N,IVFXTQLBVDABOI,17-hydroxy-8-desmethoxy-isomigrastatin,C26H37NO7
291,BGC0000316,Saccharothrix mutabilis subsp. capreolus,66854,O=C(N[C@@H](CNC(C[C@H](N)CCCN)=O)C(N/C(C(N[C@@H]([C@H]1CCN=C(N)N1)C(NC[C@H](N)C(N2)=O)=O)=O)=C\NC(N)=O)=O)[C@@H]2CO,JNIIDKODPGHQSS-CGLFUZANSA-N,JNIIDKODPGHQSS,capreomycin IA,C25H44N14O8
292,BGC0000316,Saccharothrix mutabilis subsp. capreolus,66854,C[C@H]1C(N[C@@H](CNC(C[C@H](N)CCCN)=O)C(N/C(C(N[C@@H]([C@H]2CCN=C(N)N2)C(NC[C@H](N)C(N1)=O)=O)=O)=C\NC(N)=O)=O)=O,FRXNXDHFQYZYNA-XYHSJSFUSA-N,FRXNXDHFQYZYNA,capreomycin IB,C25H44N14O7
293,BGC0000316,Saccharothrix mutabilis subsp. capreolus,66854,O=C(N[C@@H](CN)C(N/C(C(N[C@@H]([C@H]1CCN=C(N)N1)C(NC[C@H](N)C(N2)=O)=O)=O)=C\NC(N)=O)=O)[C@@H]2CO,XFGCTBYTRMLWCB-MRSVHRRQSA-N,XFGCTBYTRMLWCB,capreomycin IIA,C19H32N12O7
294,BGC0000316,Saccharothrix mutabilis subsp. capreolus,66854,C[C@H]1C(=O)N[C@H](C(=O)N/C(=C\NC(=O)N)/C(=O)N[C@H](C(=O)NC[C@@H](C(=O)N1)N)[C@H]2CCN=C(N2)N)CN,MHBQQDNEPQYCOS-CBQPQWBASA-N,MHBQQDNEPQYCOS,capreomycin IIB,C19H32N12O6
295,BGC0000830,uncultured bacterium,77133,OC1=CC2=C(NC=C2C2=CC(C(=O)N2)=C2C(=O)NC3=C2C=CC=C3)C=C1,XAPNKXIRQFHCHN-UHFFFAOYSA-N,XAPNKXIRQFHCHN,violacein,C20H13N3O3
296,BGC0000899,Streptomyces narbonensis,67333,CC1CC(C(C(O1)O)O)N(C)C,ZOYWWAGVGBSJDL-UHFFFAOYSA-N,ZOYWWAGVGBSJDL,desosamine,C8H17NO3
297,BGC0000218,Streptomyces peucetius,1950,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,AOJJSUZBOXZQNB-TZSSRYMLSA-N,AOJJSUZBOXZQNB,doxorubicin,C27H29NO11
298,BGC0000097,Streptomyces sp. MP39-85,639006,CCC/C=C/C=C/CC1C/C=C/C=C(/C=C/C=C/C(C(/C=C(/C=C/C=C/C(=O)N1)\C)O)O)\C,QUZNSWBEDCHESP-KLYFDHOZSA-N,QUZNSWBEDCHESP,ML-449,C29H39NO3
299,BGC0000645,Halobacillus halophilus DSM 2266,866895,C[C@H](CCCCC(C)CCC[C@@H](C)CCCC(C)CCC=C(C)C)CCC[C@H](C)CCC[C@H](C)CCCC(C)(C)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,MQXYWDPDLKUSFB-HOOXQTDMSA-N,MQXYWDPDLKUSFB,carotenoid,C46H90O6
300,BGC0001090,Bacillus velezensis FZB42,326423,CCC(C)CCCCCCCCC1CC(=O)NC(CC(N)=O)C(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC(N)=O)C(=O)N2CCCC2C(=O)NC(CCC(O)=O)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1,DFIMCVVZHWXEGI-UHFFFAOYSA-N,DFIMCVVZHWXEGI,bacillomycin D,C49H76N10O15
301,BGC0000605,Streptomyces sp. ATCC 55365,1073998,CC1CC(O)N2C1C1=NC(=CS1)C1=NC(=CS1)C1=NC(=CC=C1C1=NC(=C(C)O1)C(=O)NC(CC(N)=O)C1=NC(=CS1)C(=O)NC(CC1=CC=CC=C1)C1=NC(CS1)C(=O)NC(CC1=CC=C(O)C=C1)C2=O)C1=NC(=CS1)C(=O)NC(=C)C(=O)NC(=C)C(O)=O,AABZZWPMCAZHFC-UHFFFAOYSA-N,AABZZWPMCAZHFC,GE37468,C59H52N14O12S5
302,BGC0001587,Streptomyces avermitilis MA-4680 = NBRC 14893,227882,N=C(N)NCC(O)CC(C(O)=O)NCCNC(CC(O)=O)C(O)=O,UULSZYUKAFTXQP-UHFFFAOYSA-N,UULSZYUKAFTXQP,ethylenediaminesuccinic acid hydroxyarginine (EDHA),C12H23N5O7
303,BGC0001331,Salinispora arenicola CNR107,1169167,O=C(CNC([C@](O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(O[C@@H](CCCCCCCCCCC(C)C)[C@@H]1C)=O)=O)=C,YHMLVTRWZBFDAT-KLSYSPJQSA-N,YHMLVTRWZBFDAT,BE-43547A1,C30H49N3O7
304,BGC0001331,Salinispora arenicola CNR107,1169167,O=C(CNC([C@](O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(O[C@@H](CCCCCCCCCCCCC)[C@@H]1C)=O)=O)=C,JRGSONPJAHDIGK-WBPJKTCNSA-N,JRGSONPJAHDIGK,BE-43547A2,C30H49N3O7
305,BGC0001331,Salinispora arenicola CNR107,1169167,O=C(CNC([C@](O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(O[C@@H](CCCCCCCCCCC(C)CC)[C@@H]1C)=O)=O)=C,NAQRKUYGIYSJOC-FPCCGVNISA-N,NAQRKUYGIYSJOC,BE-43547B1,C31H51N3O7
306,BGC0001331,Salinispora arenicola CNR107,1169167,O=C(CNC([C@](O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(O[C@@H](CCCCCCCCCCCC(C)C)[C@@H]1C)=O)=O)=C,HQFFZMGHAJTRBU-SPRVDHHQSA-N,HQFFZMGHAJTRBU,BE-43547B2,C31H51N3O7
307,BGC0001331,Salinispora arenicola CNR107,1169167,O=C(CNC([C@](O)(C)C1=O)=O)NC(/C=C/C(N(C)CC(O[C@@H](CCCCCCCCCCCCCC)[C@@H]1C)=O)=O)=C,IDDKYWGBXFPXSV-JLVGNTQSSA-N,IDDKYWGBXFPXSV,BE-43547B3,C31H51N3O7
